url,title,price,registration_yr,insurance,fuel_type,seats,km_driven,ownership,engine_displacement,transmission,manufacture_yr
https://www.cardekho.com/used-car-details/used-Tata-nexon-ev-xz-plus-cars-New-Delhi_8bc022b6-f476-47de-8b53-d3b0ab180800.htm?adId=16998&adType=41,2021 Tata Nexon EV XZ Plus,₹7 Lakh,2021,Third Party,Electric,5 Seats,"70,000 Kms",First Owner,,Automatic,2021
https://www.cardekho.com/used-car-details/used-Honda-amaze-v-cvt-petrol-bsiv-cars-New-Delhi_8be202f7-62de-4f1a-95d2-cb3dd2396857.htm,2018 Honda Amaze V CVT Petrol BSIV,₹5.19 LakhMake Your Offer,Sept 2018,Zero Dep,Petrol,5 Seats,"37,500 Kms",First Owner,1199 cc,Automatic,2018
https://www.cardekho.com/used-car-details/used-Maruti-fronx-delta-plus-amt-cars-New-Delhi_a255261c-30ae-4b54-af5d-9f1efc5446bb.htm?adId=17941&adType=41,2025 Maruti FRONX Delta Plus AMT,₹8.35 LakhMake Your Offer,Jan 2025,Zero Dep,Petrol,5 Seats,"10,000 Kms",First Owner,1197 cc,Automatic,2025
https://www.cardekho.com/used-car-details/used-Kia-seltos-gtx-plus-diesel-at-cars-New-Delhi_03df1162-af8d-409b-b979-96ee4b0a0154.htm,2019 Kia Seltos GTX Plus Diesel AT,₹10 LakhMake Your Offer,Oct 2019,Comprehensive,Diesel,5 Seats,"98,000 Kms",First Owner,1493 cc,Automatic,2019
https://www.cardekho.com/used-car-details/used-Mg-hector-sharp-diesel-mt-cars-New-Delhi_27dea91d-2780-44a7-965c-b3dbbb6d22f0.htm,2020 MG Hector Sharp Diesel MT,₹9.75 LakhMake Your Offer,Jun 2020,Zero Dep,Diesel,5 Seats,"85,000 Kms",First Owner,1956 cc,Manual,2020
https://www.cardekho.com/used-car-details/used-Jeep-compass-20-longitude-bsiv-cars-New-Delhi_ee573f02-fbe4-4ac3-8dbf-2a6f072256df.htm,2017 Jeep Compass 2.0 Longitude BSIV,₹6.50 LakhMake Your Offer,Nov 2017,-,Diesel,5 Seats,"49,000 Kms",First Owner,1956 cc,Manual,2017
https://www.cardekho.com/used-car-details/used-Toyota-innova-crysta-27-vx-mt-bsiv-cars-New-Delhi_d0f4b7a4-953e-4f8d-98d2-92ed514557ba.htm?adId=18243&adType=41,2016 Toyota Innova Crysta 2.7 VX MT BSIV,₹8 LakhMake Your Offer,Nov 2016,-,Petrol,7 Seats,"1,12,000 Kms",First Owner,2694 cc,Manual,2016
https://www.cardekho.com/used-car-details/used-Hyundai-creta-16-vtvt-at-sx-plus-cars-New-Delhi_bbff375f-32b5-4089-86e6-68165ffdc3f8.htm,2016 Hyundai Creta 1.6 VTVT AT SX Plus,₹6.25 LakhMake Your Offer,Oct 2016,-,Petrol,5 Seats,"54,200 Kms",First Owner,1591 cc,Automatic,2016
https://www.cardekho.com/used-car-details/used-Hyundai-creta-16-vtvt-sx-plus-cars-New-Delhi_a34b7621-215d-4bd9-913f-00cc9a952f57.htm,2017 Hyundai Creta 1.6 VTVT SX Plus,₹6.20 LakhMake Your Offer,Nov 2017,-,Petrol,5 Seats,"75,045 Kms",First Owner,1591 cc,Manual,2017
https://www.cardekho.com/used-car-details/used-Nissan-kicks-15-xv-cars-New-Delhi_6095bc16-0a11-492d-a49d-157cb33aba03.htm,2021 Nissan Kicks 1.5 XV,₹5.10 LakhMake Your Offer,Nov 2021,Third Party,Petrol,5 Seats,"90,000 Kms",First Owner,1498 cc,Manual,2021
https://www.cardekho.com/used-car-details/used-Tata-altroz-xz-plus-dark-edition-bsvi-cars-New-Delhi_24fdc849-ca1a-41bf-af10-ed3cbee1a69d.htm,2022 Tata Altroz XZ Plus Dark Edition BSVI,₹5.88 LakhMake Your Offer,Dec 2022,Comprehensive,Petrol,5 Seats,"42,000 Kms",First Owner,1199 cc,Manual,2022
https://www.cardekho.com/used-car-details/used-Toyota-glanza-g-cng-cars-New-Delhi_2a54ba93-94fc-4072-bd02-9f91ae6802fd.htm,2024 Toyota Glanza G CNG,₹8.25 LakhMake Your Offer,Jul 2024,Comprehensive,CNG,5 Seats,"27,000 Kms",First Owner,1197 cc,Manual,2024
https://www.cardekho.com/used-car-details/used-Maruti-swift-dzire-vxi-cars-New-Delhi_eada4e97-0172-40cb-a8cc-e65e227a3751.htm,2021 Maruti Swift Dzire VXI,₹6.20 LakhMake Your Offer,Aug 2021,-,Petrol,5 Seats,"17,600 Kms",First Owner,1197 cc,Manual,2021
https://www.cardekho.com/used-car-details/used-Kia-sonet-gtx-plus-turbo-imt-bsvi-cars-New-Delhi_360ca218-3141-4d61-bac0-053d22d5ba95.htm,2021 Kia Sonet GTX Plus Turbo iMT BSVI,₹7.65 LakhMake Your Offer,Jun 2021,Comprehensive,Petrol,5 Seats,"55,000 Kms",First Owner,998 cc,Manual,2021
https://www.cardekho.com/used-car-details/used-Skoda-octavia-20-tdi-at-l-k-cars-New-Delhi_a056929b-a220-4266-8f16-13bad2ce9b77.htm?adId=17641&adType=41,2018 Skoda Octavia 2.0 TDI AT L K,₹10 Lakh,2018,-,Diesel,5 Seats,"79,000 Kms",First Owner,1968 cc,Automatic,2018
https://www.cardekho.com/used-car-details/used-Maruti-baleno-zeta-cars-New-Delhi_3b3e4082-9c72-4bd1-9593-90d0fd5da037.htm,2024 Maruti Baleno Zeta,₹8.15 LakhMake Your Offer,Aug 2024,Zero Dep,Petrol,5 Seats,"5,700 Kms",First Owner,1197 cc,Manual,2024
https://www.cardekho.com/used-car-details/used-Kia-sonet-htx-turbo-imt-anniversary-edition-cars-New-Delhi_94f79bdc-dd05-4dd0-a82f-63f0db6041d8.htm?adId=17133&adType=41,2022 Kia Sonet HTX Turbo iMT Anniversary Edition,₹8 Lakh,2022,-,Petrol,5 Seats,"16,200 Kms",First Owner,998 cc,Automatic,2022
https://www.cardekho.com/used-car-details/used-Hyundai-creta-16-vtvt-sx-plus-cars-New-Delhi_088fe256-b80e-40ff-b1a7-901ae088da64.htm,2019 Hyundai Creta 1.6 VTVT SX Plus,₹9.95 LakhMake Your Offer,Jan 2019,Comprehensive,Petrol,5 Seats,"41,900 Kms",First Owner,1591 cc,Manual,2019
https://www.cardekho.com/used-car-details/used-Hyundai-creta-16-vtvt-s-cars-New-Delhi_49842212-62df-4486-abfd-c55a392ff3fd.htm,2016 Hyundai Creta 1.6 VTVT S,₹6.50 LakhMake Your Offer,Mar 2016,-,Petrol,5 Seats,"65,000 Kms",First Owner,1591 cc,Manual,2016
https://www.cardekho.com/used-car-details/used-Mahindra-scorpio-199-s10-cars-New-Delhi_64cb0e64-a8a5-476d-9a7d-8afa8c330f9b.htm?adId=18230&adType=41,2016 Mahindra Scorpio 1.99 S10,₹6.50 LakhMake Your Offer,Nov 2016,-,Diesel,7 Seats,"56,000 Kms",First Owner,1997 cc,Manual,2016
https://www.cardekho.com/used-car-details/used-Tata-nexon-ev-xz-plus-cars-New-Delhi_d3b26cbe-8663-4f83-891c-9b343b5c2403.htm?adId=16430&adType=41,2020 Tata Nexon EV XZ Plus,₹10 Lakh,2020,Comprehensive,Electric,5 Seats,"40,000 Kms",First Owner,,Automatic,2020
https://www.cardekho.com/used-car-details/used-Hyundai-creta-e-bsvi-cars-New-Delhi_0b5fd071-2c72-4deb-b803-ef9efc304b2b.htm?adId=14341&adType=41,2020 Hyundai Creta E BSVI,₹7.70 Lakh,2020,-,Petrol,5 Seats,"90,000 Kms",First Owner,1497 cc,Manual,2020
